"Definition: Netzimport = Netzstrom zu Haushalt + Netzstrom zu Speicher; Genutzte Solarenergie = Eigenverbrauch − Netzimport; CO₂‑Reduktion = Gesamte Solarstromerzeugung × 0,363"
Datum,Eigenverbrauch (kWh),Verbrauch über Smart Plug (kWh),Netzimport (kWh),Netzstrom zu Haushalt (kWh),Netzstrom zu Speicher (kWh),Solarstrom zu Haushalt (kWh),Solarstrom zu Speicher (kWh),Speicherladung (kWh),Speicherentladung (kWh),Speicher zu Haushalt (kWh),Genutzte Solarenergie (kWh),Gesamte Solarstromerzeugung (kWh),Solarstrom‑Einspeisung (kWh),Solarbank 3 E2700 Pro – Gesamterzeugung (kWh),Solarbank 3 E2700 Pro – PV1‑Erzeugung (kWh),Solarbank 3 E2700 Pro – PV2‑Erzeugung (kWh),Solarbank 3 E2700 Pro – PV3‑Erzeugung (kWh),Solarbank 3 E2700 Pro – PV4‑Erzeugung (kWh),CO₂‑Reduktion (kgCO₂/kWh)
13/07/2026,9.44,0.00,1.34,1.34,0.00,3.54,5.28,5.28,4.58,4.56,8.10,8.84,0.02,8.84,2.42,2.00,2.31,2.11,3.21
14/07/2026,12.03,0.00,4.98,3.01,1.97,3.34,3.30,5.27,5.74,5.68,7.05,6.69,0.05,6.69,1.80,1.27,1.83,1.79,2.43
15/07/2026,9.81,0.00,2.26,2.06,0.20,2.80,2.33,2.53,4.99,4.95,7.55,5.14,0.01,5.14,1.26,1.04,1.54,1.30,1.87
16/07/2026,14.99,0.00,7.77,4.44,3.33,5.24,2.92,6.25,5.35,5.31,7.22,8.20,0.04,8.20,2.25,1.85,2.09,2.01,2.98
17/07/2026,11.13,0.00,3.77,3.77,0.00,4.20,2.32,2.32,3.19,3.16,7.36,6.54,0.02,6.54,1.74,1.22,1.98,1.60,2.37
18/07/2026,7.32,0.00,2.33,2.33,0.00,3.10,3.87,3.87,1.89,1.89,4.99,6.97,0.00,6.97,1.95,1.60,1.84,1.58,2.53
19/07/2026,12.39,0.00,6.22,6.22,0.00,3.20,1.16,1.16,2.98,2.97,6.17,4.38,0.02,4.38,1.23,0.75,1.39,1.01,1.59
20/07/2026,6.81,0.00,1.98,1.98,0.00,3.28,5.10,5.10,1.56,1.55,4.83,8.38,0.00,8.38,2.60,1.69,2.24,1.85,3.04
21/07/2026,8.82,0.00,0.68,0.68,0.00,3.26,5.00,5.00,4.89,4.88,8.14,8.26,0.00,8.26,2.85,1.52,2.16,1.73,3.00
22/07/2026,7.76,0.00,0.47,0.47,0.00,3.29,6.00,6.00,4.01,4.00,7.29,9.30,0.01,9.30,2.68,1.80,2.54,2.28,3.38
23/07/2026,11.43,0.00,1.18,1.18,0.00,4.62,4.45,4.45,5.64,5.63,10.25,9.08,0.01,9.08,2.68,1.68,2.54,2.18,3.30
24/07/2026,8.96,0.00,0.79,0.79,0.00,4.14,5.44,5.44,4.03,4.03,8.17,9.59,0.01,9.59,2.47,1.98,2.53,2.61,3.48
25/07/2026,13.16,0.00,3.60,3.60,0.00,3.87,4.36,4.36,5.75,5.69,9.56,8.29,0.06,8.29,2.30,1.35,2.34,2.30,3.01
26/07/2026,9.42,0.00,4.45,4.45,0.00,1.55,0.01,0.01,3.44,3.42,4.97,1.56,0.00,1.56,0.46,0.36,0.40,0.34,0.57
27/07/2026,10.40,0.00,5.54,5.54,0.00,3.11,1.69,1.69,1.77,1.75,4.86,4.82,0.02,4.82,1.67,0.65,1.56,0.94,1.75
28/07/2026,9.15,0.00,3.37,3.37,0.00,3.69,5.04,5.04,2.11,2.09,5.78,8.74,0.01,8.74,2.57,1.53,2.28,2.36,3.17
29/07/2026,8.27,0.00,1.10,1.10,0.00,3.21,3.95,3.95,4.01,3.96,7.17,7.18,0.02,7.18,1.97,1.74,1.66,1.81,2.61
30/07/2026,12.56,0.00,3.65,3.65,0.00,3.53,4.38,4.38,5.41,5.38,8.91,7.95,0.04,7.95,2.19,1.77,2.00,1.99,2.89
31/07/2026,8.17,0.00,1.84,1.84,0.00,2.29,2.92,2.92,4.06,4.04,6.33,5.23,0.02,5.23,1.40,1.21,1.23,1.39,1.90
01/08/2026,8.99,0.00,3.61,3.61,0.00,2.66,2.84,2.84,2.74,2.72,5.38,5.52,0.02,5.52,1.61,1.22,1.26,1.43,2.00
02/08/2026,9.20,0.00,3.90,3.90,0.00,3.03,3.66,3.66,2.33,2.27,5.30,6.75,0.06,6.75,1.93,1.52,1.65,1.65,2.45
03/08/2026,9.58,0.00,2.64,2.64,0.00,3.27,3.96,3.96,3.69,3.67,6.94,7.26,0.03,7.26,2.01,1.47,1.84,1.94,2.64
04/08/2026,7.77,0.00,1.46,1.46,0.00,3.39,4.84,4.84,2.92,2.92,6.31,8.23,0.00,8.23,2.04,1.55,2.38,2.26,2.99
05/08/2026,12.39,0.00,2.96,2.96,0.00,3.27,3.36,3.36,6.20,6.16,9.43,6.65,0.02,6.65,1.73,1.32,1.79,1.81,2.41
06/08/2026,7.11,0.00,2.04,2.04,0.00,2.44,2.48,2.48,2.65,2.63,5.07,4.92,0.00,4.92,1.22,0.95,1.32,1.43,1.79
07/08/2026,9.39,0.00,6.77,6.77,0.00,1.93,0.83,0.83,0.69,0.69,2.62,2.78,0.02,2.78,0.83,0.61,0.64,0.70,1.01
08/08/2026,10.62,0.00,4.58,4.58,0.00,4.05,4.41,4.41,2.00,1.99,6.04,8.48,0.02,8.48,2.02,1.58,2.56,2.32,3.08
